path,label
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger001.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger002.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger003.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger004.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger005.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger006.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger007.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger008.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger009.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger010.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger011.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger012.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger013.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger014.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger015.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger016.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger017.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger018.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger019.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger020.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger021.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger022.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger023.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger024.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger025.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger026.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger027.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger028.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger029.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger030.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger031.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger032.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger033.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger034.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger035.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger036.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger037.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger038.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger039.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger040.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger041.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger042.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger043.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger044.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger045.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger046.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger047.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger048.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger049.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger050.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger051.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger052.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger053.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger054.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger055.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger056.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger057.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger058.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger059.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger060.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger061.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger062.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger063.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger064.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger065.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger066.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger067.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger068.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger069.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger070.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger071.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger072.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger073.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger074.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger075.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger076.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger077.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger078.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger079.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger080.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger081.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger082.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger083.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger084.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger085.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger086.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger087.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger088.wav,0
C:\Users\jatin\Desktop\SE Project\Dataset\anger\anger089.wav,0
